2026/07/03 00:19:28 maxprocs: Leaving GOMAXPROCS=4: CPU quota undefined
begin to check warehouse 43 at condition 3.3.2.6
begin to check warehouse 43 at condition 3.3.2.7
begin to check warehouse 43 at condition 3.3.2.8
begin to check warehouse 43 at condition 3.3.2.12
begin to check warehouse 43 at condition 3.3.2.1
begin to check warehouse 43 at condition 3.3.2.2
begin to check warehouse 43 at condition 3.3.2.9
begin to check warehouse 43 at condition 3.3.2.10
begin to check warehouse 43 at condition 3.3.2.11
begin to check warehouse 43 at condition 3.3.2.4
begin to check warehouse 43 at condition 3.3.2.5
begin to check warehouse 44 at condition 3.3.2.2
begin to check warehouse 44 at condition 3.3.2.3
begin to check warehouse 44 at condition 3.3.2.6
begin to check warehouse 44 at condition 3.3.2.7
begin to check warehouse 44 at condition 3.3.2.8
begin to check warehouse 44 at condition 3.3.2.12
begin to check warehouse 44 at condition 3.3.2.1
begin to check warehouse 44 at condition 3.3.2.5
begin to check warehouse 44 at condition 3.3.2.9
begin to check warehouse 44 at condition 3.3.2.10
begin to check warehouse 44 at condition 3.3.2.11
begin to check warehouse 44 at condition 3.3.2.4
begin to check warehouse 45 at condition 3.3.2.6
begin to check warehouse 45 at condition 3.3.2.7
begin to check warehouse 45 at condition 3.3.2.8
begin to check warehouse 45 at condition 3.3.2.12
begin to check warehouse 45 at condition 3.3.2.1
begin to check warehouse 45 at condition 3.3.2.2
begin to check warehouse 45 at condition 3.3.2.3
begin to check warehouse 45 at condition 3.3.2.10
begin to check warehouse 45 at condition 3.3.2.11
begin to check warehouse 45 at condition 3.3.2.4
begin to check warehouse 45 at condition 3.3.2.5
begin to check warehouse 45 at condition 3.3.2.9
begin to check warehouse 46 at condition 3.3.2.10
begin to check warehouse 46 at condition 3.3.2.11
begin to check warehouse 46 at condition 3.3.2.4
begin to check warehouse 46 at condition 3.3.2.5
begin to check warehouse 46 at condition 3.3.2.9
begin to check warehouse 46 at condition 3.3.2.6
begin to check warehouse 46 at condition 3.3.2.7
begin to check warehouse 46 at condition 3.3.2.8
begin to check warehouse 46 at condition 3.3.2.12
begin to check warehouse 46 at condition 3.3.2.1
begin to check warehouse 46 at condition 3.3.2.2
begin to check warehouse 46 at condition 3.3.2.3
begin to check warehouse 47 at condition 3.3.2.8
begin to check warehouse 47 at condition 3.3.2.12
begin to check warehouse 47 at condition 3.3.2.1
begin to check warehouse 47 at condition 3.3.2.2
begin to check warehouse 47 at condition 3.3.2.3
begin to check warehouse 47 at condition 3.3.2.6
begin to check warehouse 47 at condition 3.3.2.7
begin to check warehouse 47 at condition 3.3.2.4
begin to check warehouse 47 at condition 3.3.2.5
begin to check warehouse 47 at condition 3.3.2.9
begin to check warehouse 47 at condition 3.3.2.10
begin to check warehouse 47 at condition 3.3.2.11
begin to check warehouse 48 at condition 3.3.2.5
begin to check warehouse 48 at condition 3.3.2.9
begin to check warehouse 48 at condition 3.3.2.10
begin to check warehouse 48 at condition 3.3.2.11
begin to check warehouse 48 at condition 3.3.2.4
begin to check warehouse 48 at condition 3.3.2.2
begin to check warehouse 48 at condition 3.3.2.3
begin to check warehouse 48 at condition 3.3.2.6
begin to check warehouse 48 at condition 3.3.2.7
begin to check warehouse 48 at condition 3.3.2.8
begin to check warehouse 48 at condition 3.3.2.12
begin to check warehouse 48 at condition 3.3.2.1
begin to check warehouse 49 at condition 3.3.2.4
begin to check warehouse 49 at condition 3.3.2.5
begin to check warehouse 49 at condition 3.3.2.9
begin to check warehouse 49 at condition 3.3.2.10
begin to check warehouse 49 at condition 3.3.2.11
begin to check warehouse 49 at condition 3.3.2.12
begin to check warehouse 49 at condition 3.3.2.1
begin to check warehouse 49 at condition 3.3.2.2
begin to check warehouse 49 at condition 3.3.2.3
begin to check warehouse 49 at condition 3.3.2.6
begin to check warehouse 49 at condition 3.3.2.7
begin to check warehouse 49 at condition 3.3.2.8
begin to check warehouse 50 at condition 3.3.2.4
begin to check warehouse 50 at condition 3.3.2.5
begin to check warehouse 50 at condition 3.3.2.9
begin to check warehouse 50 at condition 3.3.2.10
begin to check warehouse 50 at condition 3.3.2.11
begin to check warehouse 50 at condition 3.3.2.8
begin to check warehouse 50 at condition 3.3.2.12
begin to check warehouse 50 at condition 3.3.2.1
begin to check warehouse 50 at condition 3.3.2.2
begin to check warehouse 50 at condition 3.3.2.3
